timestamp,setting,bitrate_kbps,jitter_ms,packets_lost,packets_received,packet_loss_pct
2026-08-16T04:44:17.091156,local_test,282.1,0.25,0,10328,0.0
2026-08-16T04:44:19.092469,local_test,257.1,0.12,0,10638,0.0
2026-08-16T04:44:21.093324,local_test,261.5,0.08,0,10948,0.0
2026-08-16T04:44:23.095167,local_test,264.0,0.09,0,11258,0.0
2026-08-16T04:44:25.096211,local_test,258.0,0.12,0,11568,0.0
2026-08-16T04:44:27.096597,local_test,256.9,0.17,0,11877,0.0
2026-08-16T04:44:29.096959,local_test,266.9,0.3,0,12187,0.0
2026-08-16T04:44:31.098889,local_test,268.8,4.53,0,12492,0.0
2026-08-16T04:44:33.100948,local_test,257.5,0.31,0,12806,0.0
2026-08-16T04:44:35.102501,local_test,266.7,0.34,0,13116,0.0
2026-08-16T04:44:37.104304,local_test,267.9,0.08,0,13426,0.0
2026-08-16T04:44:39.105088,local_test,263.6,0.1,0,13736,0.0
2026-08-16T04:44:41.107164,local_test,260.4,0.16,0,14045,0.0
2026-08-16T04:44:46.694958,local_test,100.3,0.44,0,14356,0.0
2026-08-16T04:44:48.696026,local_test,271.9,0.1,0,14670,0.0
2026-08-16T04:44:50.697790,local_test,256.9,0.28,0,14980,0.0
2026-08-16T04:44:52.698852,local_test,271.6,0.25,0,15291,0.0
2026-08-16T04:44:54.700215,local_test,266.0,0.29,0,15601,0.0
2026-08-16T04:44:56.701859,local_test,257.1,0.09,0,15911,0.0
2026-08-16T04:44:58.703369,local_test,268.4,0.16,0,16221,0.0
2026-08-16T04:45:00.705191,local_test,257.0,0.32,0,16531,0.0
2026-08-16T04:45:02.706892,local_test,260.9,0.08,0,16840,0.0
2026-08-16T04:45:04.707166,local_test,262.9,0.21,0,17150,0.0
2026-08-16T04:45:06.708119,local_test,273.6,0.11,0,17461,0.0
2026-08-16T04:45:08.709893,local_test,260.4,0.08,0,17771,0.0
2026-08-16T04:45:10.710941,local_test,262.4,0.13,0,18080,0.0
2026-08-16T04:45:12.712780,local_test,272.7,0.09,0,18390,0.0
2026-08-16T04:45:14.713254,local_test,264.9,0.31,0,18700,0.0
2026-08-16T04:45:16.714180,local_test,256.0,0.32,0,19010,0.0
2026-08-16T04:45:22.297286,local_test,94.8,0.27,0,19320,0.0
2026-08-16T04:45:24.297750,local_test,281.9,0.1,0,19630,0.0
2026-08-16T04:45:26.298684,local_test,259.8,0.1,0,19940,0.0
2026-08-16T04:45:28.298908,local_test,259.2,0.24,0,20250,0.0
2026-08-16T04:45:30.300459,local_test,278.4,0.13,0,20559,0.0
